Components,Edges
['(1737-2246)'],1
['(1737-2758)'],1
['(737-1539)'],1
['(737-2516)'],1
['(945-660)'],1
['(1866-2572)'],1
['(1866-3675)'],1
['(327-96)'],1
['(327-627)'],1
['(327-681)'],1
['(327-822)'],1
['(327-2179)'],1
['(327-2273)'],1
['(327-2274)'],1
['(101-2018)'],1
['(49-2893)'],1
['(49-3065)'],1
['(49-3593)'],1
['(3998-1730)'],1
['(3998-1936)'],1
['(3998-3625)'],1
['(3998-4704)'],1
['(3998-5039)'],1
['(1089-1313)'],1
['(469-41)'],1
['(469-471)'],1
['(472-347)'],1
['(1267-1268)'],1
['(1267-1269)'],1
['(1267-1270)'],1
['(1267-1271)'],1
['(1273-330)'],1
['(1854-575)'],1
['(1317-1036)'],1
['(507-2491)'],1
['(938-534)'],1
['(547-117)'],1
['(141-142)'],1
['(494-1372)'],1
['(1787-549)'],1
['(1787-802)'],1
['(1787-1115)'],1
['(1787-1574)'],1
['(1787-1788)'],1
['(1787-3563)'],1
['(1090-1374)'],1
['(1090-1516)'],1
['(1090-1568)'],1
['(1090-1861)'],1
['(1090-2078)'],1
['(1090-2222)'],1
['(1090-2430)'],1
['(1090-3110)'],1
['(1090-3111)'],1
['(437-1090)'],1
['(2221-976)'],1
['(2221-1044)'],1
['(353-754)'],1
['(2338-840)'],1
['(2338-1031)'],1
['(2338-1457)'],1
['(2338-1509)'],1
['(2338-2785)'],1
['(2338-3006)'],1
['(2338-3743)'],1
['(2338-5056)'],1
['(5645-271)'],1
['(5645-2249)'],1
['(5645-4077)'],1
['(5645-5923)'],1
['(276-272)'],1
['(276-274)'],1
['(276-600)'],1
['(276-1583)'],1
['(276-1800)'],1
['(276-2247)'],1
['(2248-2353)'],1
['(2248-3671)'],1
['(2248-4067)'],1
['(2248-5114)'],1
['(2248-5115)'],1
['(2248-5116)'],1
['(2248-5117)'],1
['(5924-619)'],1
['(5924-1983)'],1
['(5924-2276)'],1
['(5924-3173)'],1
['(5924-3891)'],1
['(5924-4052)'],1
['(5924-5911)'],1
['(6071-364)'],1
['(6071-5081)'],1
['(6071-5179)'],1
['(5980-789)'],1
['(5980-835)'],1
['(484-337)'],1
['(1352-1353)'],1
['(1354-1642)'],1
['(1354-1741)'],1
['(2134-712)'],1
['(2847-498)'],1
['(747-2051)'],1
['(747-2427)'],1
['(747-2648)'],1
['(747-2667)'],1
['(747-2668)'],1
['(747-2669)'],1
['(747-2672)'],1
['(747-2673)'],1
['(2847-1817)'],1
['(2847-2535)'],1
['(889-2951)'],1
['(3266-651)'],1
['(3266-1935)'],1
['(3266-2724)'],1
['(385-2162)'],1
['(385-2339)'],1
['(385-2340)'],1
['(385-2342)'],1
['(2343-2320)'],1
['(2343-2889)'],1
['(2343-3113)'],1
['(2343-3565)'],1
['(1043-3146)'],1
['(4264-1157)'],1
['(1043-4264)'],1
['(1289-1043)'],1
['(2944-1240)'],1
['(2944-1425)'],1
['(2944-1731)'],1
['(2944-4537)'],1
['(2944-4538)'],1
['(1289-2944)'],1
['(1289-2966)'],1
['(1289-3143)'],1
['(1289-3144)'],1
['(1289-3145)'],1
['(3566-1491)'],1
['(1400-657)'],1
['(1400-3262)'],1
['(1400-3263)'],1
['(1400-3264)'],1
['(1400-3265)'],1
['(1400-3267)'],1
['(1400-3268)'],1
